FullName,Email,Phone,TransactionType,Amount,TransactionDate,AccountType,Balance,OpeningDate,LoanAmount,LoanType,StartDate,EndDate,InterestRate
Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,deposit,351.68,26/04/2019,Checking,9461.84,11/05/2021,,,,,
Daniel Newman,potterrichard@example.com,001-541-774-7582x00497,withdrawal,50.99,12/06/2021,Savings,2813.49,01/10/2023,,,,,
Sabrina Juarez,patrick92@example.com,715-732-5572x27771,withdrawal,426.91,29/03/2022,Credit,9382.52,17/08/2022,26360.24,Auto,26/08/2020,59:17.9,2.89
Scott Collins,veronica19@example.org,001-449-712-6361x791,withdrawal,86.29,26/12/2022,Checking,408.18,29/11/2020,47203.82,Auto,15/06/2021,59:17.9,5.28
Carly Mitchell,zachary24@example.org,(728)923-5061,withdrawal,193.12,25/01/2023,Checking,4092.25,26/09/2019,8056.59,Mortgage,16/11/2019,59:17.9,7.33
Jamie Stone,derekhart@example.org,473.393.2625x19595,deposit,271.18,10/02/2021,Savings,5779.42,13/08/2020,27719.17,Mortgage,12/02/2022,59:17.9,1.54
Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,withdrawal,337.93,22/10/2020,Credit,5981.73,08/06/2020,,,,,
Brian Dillon,swilson@example.net,001-699-957-2129x33878,withdrawal,46.76,23/01/2024,Checking,176.64,22/04/2019,38994.49,Auto,24/12/2020,59:17.9,5.55
Christopher Hale,watsondarren@example.org,+1-917-489-0869x753,withdrawal,299.22,01/05/2023,Checking,5108.1,15/06/2023,28988.77,Personal,23/03/2020,59:17.9,3.06
Shelby Smith,carolyn11@example.com,580.272.0301x65432,withdrawal,345.48,26/08/2019,Credit,8471.16,05/09/2021,,,,,
Sabrina Juarez,patrick92@example.com,715-732-5572x27771,deposit,309.22,11/03/2023,Savings,9139.78,03/01/2023,26360.24,Auto,26/08/2020,59:17.9,2.89
Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,withdrawal,381.28,23/11/2020,Checking,485.78,04/12/2020,,,,,
Jesse Osborn,dennis81@example.org,(504)953-6008x457,withdrawal,356.54,16/05/2021,Credit,6487.53,18/09/2019,,,,,
Peter Callahan,miranda13@example.org,-5276,withdrawal,309.74,11/02/2022,Savings,5436.03,30/04/2019,32850.56,Personal,24/11/2021,59:17.9,2.81
Chad Jensen,ambertaylor@example.org,6576129629,withdrawal,468.3,25/02/2019,Savings,3999.07,11/10/2020,,,,,
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,298.4,16/08/2022,Savings,9573.53,05/09/2021,12965.19,Mortgage,17/07/2022,59:17.9,7.43
Eric Anderson,spencer16@example.com,851-945-5888,withdrawal,132.43,10/12/2021,Checking,8922.24,14/04/2023,,,,,
Ethan Walker,jessicashah@example.net,001-586-722-3937x922,deposit,490.26,22/06/2023,Credit,6050.42,09/09/2020,39189.96,Auto,30/07/2023,59:17.9,6.36
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,136.12,04/09/2021,Credit,6681.52,09/11/2021,19607.01,Mortgage,19/07/2023,59:17.9,2.93
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,136.12,04/09/2021,Credit,6681.52,09/11/2021,39348,Auto,09/02/2020,59:17.9,4.95
Brian Scott,marquezgeorge@example.org,001-925-602-1058x78333,deposit,67.63,12/03/2020,Savings,3935.69,29/04/2023,,,,,
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,333.17,31/03/2023,Checking,9940.6,16/05/2019,19635.04,Personal,02/08/2021,59:17.9,4.89
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,333.17,31/03/2023,Checking,9940.6,16/05/2019,42324.23,Mortgage,04/04/2023,59:17.9,5.25
Crystal George,james32@example.com,(934)652-9829,withdrawal,58.45,12/12/2019,Checking,9829.08,29/05/2022,19426.95,Auto,18/06/2021,59:17.9,7.29
Crystal George,james32@example.com,(934)652-9829,withdrawal,58.45,12/12/2019,Checking,9829.08,29/05/2022,13967.51,Mortgage,29/04/2023,59:17.9,6.27
Tommy Brooks,burtonjames@example.com,(534)691-4906,withdrawal,381.9,05/01/2024,Savings,5901.01,01/11/2021,35994.71,Mortgage,03/09/2023,59:17.9,3.52
Ryan Alexander,loganjohn@example.org,900.377.1792x148,withdrawal,363.18,15/02/2022,Checking,6273.5,19/07/2019,18162.6,Personal,09/11/2023,59:17.9,2.12
Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,deposit,364.14,27/09/2022,Credit,2371.32,06/07/2023,,,,,
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,287.91,12/05/2020,Credit,6681.52,09/11/2021,19607.01,Mortgage,19/07/2023,59:17.9,2.93
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,287.91,12/05/2020,Credit,6681.52,09/11/2021,39348,Auto,09/02/2020,59:17.9,4.95
Francisco Potter,joneschristine@example.org,(564)921-3755x708,deposit,57.33,15/09/2022,Credit,6992.14,08/03/2022,35115.06,Auto,01/09/2023,59:17.9,5.87
Anthony Moore,rosariokevin@example.org,(285)263-4804,deposit,259.81,03/07/2019,Checking,660.41,21/01/2024,32793.41,Auto,30/08/2020,59:17.9,3.97
Anthony Moore,rosariokevin@example.org,(285)263-4804,deposit,259.81,03/07/2019,Checking,660.41,21/01/2024,36341.34,Auto,29/05/2021,59:17.9,4.43
Anthony Moore,rosariokevin@example.org,(285)263-4804,deposit,259.81,03/07/2019,Checking,660.41,21/01/2024,49303.25,Mortgage,20/08/2020,59:17.9,3.12
Jeremy Jacobs,fmartinez@example.org,001-331-228-0826x478,withdrawal,54.48,24/03/2020,Credit,9868.28,25/07/2019,42684.76,Personal,15/01/2024,59:17.9,1.96
Crystal George,james32@example.com,(934)652-9829,withdrawal,387.3,26/09/2019,Checking,8090.41,08/03/2021,19426.95,Auto,18/06/2021,59:17.9,7.29
Crystal George,james32@example.com,(934)652-9829,withdrawal,387.3,26/09/2019,Checking,8090.41,08/03/2021,13967.51,Mortgage,29/04/2023,59:17.9,6.27
Monica Graves,xday@example.net,402.918.5084x3030,withdrawal,61.79,23/07/2023,Credit,477.03,23/03/2020,48233.91,Personal,03/12/2023,59:17.9,4.7
Monica Graves,xday@example.net,402.918.5084x3030,withdrawal,61.79,23/07/2023,Credit,477.03,23/03/2020,5710.02,Mortgage,28/11/2023,59:17.9,5.45
Jamie Stone,derekhart@example.org,473.393.2625x19595,withdrawal,192.54,09/11/2020,Savings,7533.24,16/04/2019,27719.17,Mortgage,12/02/2022,59:17.9,1.54
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,418.3,09/09/2023,Checking,2161.94,06/11/2021,25666.75,Auto,09/05/2023,59:17.9,6.84
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,418.3,09/09/2023,Checking,2161.94,06/11/2021,23853.85,Personal,30/01/2024,59:17.9,7.41
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,418.3,09/09/2023,Checking,2161.94,06/11/2021,8092.2,Personal,18/08/2021,59:17.9,2.85
Tommy Brooks,burtonjames@example.com,(534)691-4906,withdrawal,112.4,04/01/2020,Savings,5901.01,01/11/2021,35994.71,Mortgage,03/09/2023,59:17.9,3.52
Shelby Smith,carolyn11@example.com,580.272.0301x65432,deposit,259.17,10/02/2023,Credit,8471.16,05/09/2021,,,,,
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,188.5,12/02/2023,Savings,9418.14,26/01/2021,12965.19,Mortgage,17/07/2022,59:17.9,7.43
David Rasmussen,fburns@example.net,9347152436,withdrawal,154.24,10/09/2019,Credit,1327.94,25/08/2023,,,,,
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,332.36,11/02/2019,Checking,2442.05,14/03/2021,15237,Mortgage,24/04/2022,59:17.9,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,332.36,11/02/2019,Checking,2442.05,14/03/2021,29065.5,Personal,03/04/2021,59:17.9,2.95
Anna Cummings,jason93@example.org,685-791-5979,withdrawal,257.1,23/09/2022,Checking,439.38,12/05/2020,44125.94,Auto,03/10/2021,59:17.9,6.1
Anna Cummings,jason93@example.org,685-791-5979,withdrawal,257.1,23/09/2022,Checking,439.38,12/05/2020,34105.55,Mortgage,13/12/2019,59:17.9,3.13
Anna Cummings,jason93@example.org,685-791-5979,withdrawal,257.1,23/09/2022,Checking,439.38,12/05/2020,30019.7,Personal,26/05/2022,59:17.9,7.25
Anna Cummings,jason93@example.org,685-791-5979,withdrawal,257.1,23/09/2022,Checking,439.38,12/05/2020,46713.9,Mortgage,25/01/2020,59:17.9,2.13
Anna Cummings,jason93@example.org,685-791-5979,withdrawal,257.1,23/09/2022,Checking,439.38,12/05/2020,45761.17,Personal,18/09/2022,59:17.9,7.22
Kim Stone,garrett28@example.org,001-668-236-9938,deposit,26.44,28/09/2020,Savings,6995.71,05/04/2019,,,,,
Brian Dillon,swilson@example.net,001-699-957-2129x33878,deposit,459.22,09/05/2019,Checking,176.64,22/04/2019,38994.49,Auto,24/12/2020,59:17.9,5.55
Kayla Blair,hmcmillan@example.com,(500)245-2355,withdrawal,53.02,13/11/2023,Checking,9925.68,04/05/2020,,,,,
Daniel Ballard,laura73@example.com,(890)775-8199,deposit,126.32,08/03/2019,Savings,6248.9,07/04/2023,38402.89,Mortgage,25/05/2020,59:17.9,4.64
Daniel Ballard,laura73@example.com,(890)775-8199,deposit,126.32,08/03/2019,Savings,6248.9,07/04/2023,20567.09,Personal,29/11/2019,59:17.9,4.29
Daniel Ballard,laura73@example.com,(890)775-8199,deposit,126.32,08/03/2019,Savings,6248.9,07/04/2023,32936.11,Mortgage,25/12/2020,59:17.9,6.22
Heather Wright,adamssheila@example.net,850-282-6951x4975,withdrawal,308.31,05/10/2021,Credit,3099.1,25/01/2022,13931.18,Mortgage,30/01/2021,59:17.9,3.35
Carol Miller,yfisher@example.org,6088279027,deposit,278.13,13/11/2020,Savings,5652.16,12/08/2019,,,,,
Carly Mitchell,zachary24@example.org,(728)923-5061,withdrawal,274.08,29/06/2022,Checking,4092.25,26/09/2019,8056.59,Mortgage,16/11/2019,59:17.9,7.33
Martha Smith,darlenegoodwin@example.net,+1-665-427-6242x5731,withdrawal,296.84,14/05/2022,Credit,8539.34,25/03/2023,,,,,
Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,deposit,292.57,21/10/2019,Credit,5981.73,08/06/2020,,,,,
Crystal Burns,jbarry@example.net,001-295-729-2302,withdrawal,41.78,12/09/2023,Savings,4937.91,18/03/2019,,,,,
Cindy Armstrong,penningtonjohn@example.com,+1-690-266-8798x994,deposit,427.57,31/03/2020,Savings,824.41,21/09/2019,30356.38,Auto,01/06/2020,59:17.9,5.99
Crystal Burns,jbarry@example.net,001-295-729-2302,deposit,468.81,23/12/2022,Checking,4723.64,20/09/2023,,,,,
Vanessa James,colleendavis@example.org,891-740-2938,deposit,330.91,02/02/2024,Savings,479.11,26/04/2020,,,,,
Adam Mcgee,zwatkins@example.org,357-694-7359x5733,withdrawal,197.66,25/11/2019,Credit,3020.06,22/11/2020,37877.78,Auto,29/05/2019,59:17.9,1.93
Adam Mcgee,zwatkins@example.org,357-694-7359x5733,withdrawal,197.66,25/11/2019,Credit,3020.06,22/11/2020,11928.9,Personal,16/04/2020,59:17.9,3.05
Adam Mcgee,zwatkins@example.org,357-694-7359x5733,withdrawal,197.66,25/11/2019,Credit,3020.06,22/11/2020,22108.89,Personal,19/10/2022,59:17.9,6.6
Monica Graves,xday@example.net,402.918.5084x3030,deposit,110.19,17/07/2019,Savings,8648.97,05/06/2022,48233.91,Personal,03/12/2023,59:17.9,4.7
Monica Graves,xday@example.net,402.918.5084x3030,deposit,110.19,17/07/2019,Savings,8648.97,05/06/2022,5710.02,Mortgage,28/11/2023,59:17.9,5.45
Jason Carroll,katherinewebb@example.org,001-314-231-6194x278,deposit,132.69,24/10/2021,Credit,7585.37,11/08/2019,48863.64,Mortgage,26/11/2021,59:17.9,2.42
Jason Carroll,katherinewebb@example.org,001-314-231-6194x278,deposit,132.69,24/10/2021,Credit,7585.37,11/08/2019,48494.41,Auto,16/02/2019,59:17.9,3.62
Jennifer Powell,steven73@example.com,236-757-3372x60869,withdrawal,70.81,11/09/2023,Savings,4556.78,23/05/2021,42415.32,Mortgage,03/10/2020,59:17.9,1.81
Cody Jenkins,christinafrost@example.org,600-670-5758x719,withdrawal,157.92,13/11/2023,Savings,723.3,31/12/2020,33579.17,Personal,10/07/2022,59:17.9,4.84
